Unnamed: 0,iso3c,Country,Rank,Score,Incidents,Fatalities,Injuries,Hostages
,AFG,Afghanistan,1,8.82224371341993,225,633,897,0
,BFA,Burkina Faso,2,8.56410076490047,310,1135,496,84
,SOM,Somalia,3,8.46303091321381,299,755,1001,0
,MLI,Mali,4,8.41239241064137,272,944,376,24
,SYR,Syria,5,8.16124283985543,197,447,451,2
,PAK,Pakistan,6,8.16015314210701,298,643,802,13
,IRQ,Iraq,7,8.13861781378881,401,174,339,7
,NGA,Nigeria,8,8.06481125280975,120,385,147,59
,MMR,Myanmar,9,7.97667917599247,755,415,349,13
,NER,Niger,10,7.61620676036391,54,198,118,16
,CMR,Cameroon,11,7.34700163766975,116,166,53,65
,MOZ,Mozambique,12,7.32990404589585,90,163,24,31
,IND,India,13,7.17496201507097,142,78,150,2
,COD,Democratic Republic of the Congo,14,6.87162264069472,17,136,7,0
,COL,Colombia,15,6.69691979598402,45,21,114,2
,EGY,Egypt,16,6.63155090074775,30,72,34,3
,CHL,Chile,17,6.61929857272643,310,9,49,0
,PHL,Philippines,18,6.32798374961516,20,18,38,0
,TCD,Chad,19,6.16778349284037,6,36,62,0
,KEN,Kenya,20,6.16258536682152,26,51,26,6
,IRN,Iran,21,5.68752106671281,7,42,68,0
,YEM,Yemen,22,5.61640219300924,9,19,23,5
,TUR,Turkey,23,5.60030397717011,10,17,107,0
,IDN,Indonesia,24,5.50210106202013,7,25,22,0
,ISR,Israel,25,5.48902181581549,23,28,69,0
,THA,Thailand,26,5.43010356401221,25,4,47,0
,TGO,Togo,27,4.91452749604481,5,26,16,0
,BEN,Benin,28,4.83954827469584,12,18,15,1
,LKA,Sri Lanka,29,4.83922720831201,0,0,0,0
,USA,United States of America,30,4.79879824209937,8,11,7,0
,GRC,Greece,31,4.79305882262799,35,0,2,0
,LBY,Libya,32,4.72983025971423,4,4,5,0
,PSE,Palestine,33,4.61127624835016,17,1,21,0
,FRA,France,34,4.41924335947235,9,4,3,0
,DEU,Germany,35,4.24204383282108,5,0,0,0
,NPL,Nepal,36,4.1344013857005,2,0,2,0
,DZA,Algeria,37,4.0828347785778,1,3,0,0
,TZA,Tanzania,38,4.06493920272373,0,0,0,0
,BDI,Burundi,39,4.05067099518611,0,0,0,0
,TUN,Tunisia,40,3.98854815061379,3,0,5,0
,PER,Peru,41,3.8560981851493,0,0,0,0
,GBR,United Kingdom,42,3.83993337254492,4,0,2,0
,BGD,Bangladesh,43,3.82657327339831,2,0,2,0
,DJI,Djibouti,44,3.8002857693445,1,7,6,0
,RUS,Russia,45,3.79921746495304,3,2,0,0
,NZL,New Zealand,46,3.77647271224013,0,0,0,0
,CIV,Cote d' Ivoire,47,3.74745760400636,1,0,0,0
,UGA,Uganda,48,3.59926830800999,0,0,0,0
,NOR,Norway,49,3.51441674218374,1,2,21,0
,TJK,Tajikistan,50,3.43835910425916,1,0,0,0
,VEN,Venezuela,51,3.40864957703915,0,0,0,0
,LBN,Lebanon,52,3.40021251211859,2,1,3,0
,ITA,Italy,53,3.29004849137131,3,0,0,0
,CAN,Canada,54,3.2745012448604,0,0,0,0
,CAF,Central African Republic,55,3.19442771624724,1,3,2,0
,ETH,Ethiopia,56,3.04446737653316,2,0,7,0
,ARG,Argentina,57,2.87546553100419,4,0,2,0
,SVK,Slovakia,58,2.78365901162542,1,2,1,0
,BEL,Belgium,59,2.76265087826904,3,1,1,0
,ESP,Spain,60,2.71155123867754,6,0,1,0
,AUT,Austria,61,2.67703166415428,0,0,0,0
,JPN,Japan,62,2.39771336395364,1,1,0,0
,SAU,Saudi Arabia,63,2.38683533002177,0,0,0,0
,SWE,Sweden,64,2.30659840182477,1,1,0,0
,CHE,Switzerland,65,2.20474054011775,0,0,0,0
,ECU,Ecuador,66,2.19795782068182,0,0,0,0
,NLD,Netherlands,67,2.11961032363824,0,0,0,0
,JOR,Jordan,68,2.03345120484235,0,0,0,0
,AUS,Australia,69,1.83012146326686,0,0,0,0
,UZB,Uzbekistan,70,1.73086448260274,2,0,0,0
,PRY,Paraguay,71,1.60531219912934,0,0,0,0
,MEX,Mexico,72,1.5778561694534,0,0,0,0
,UKR,Ukraine,73,1.53496511690485,0,0,0,0
,CYP,Cyprus,74,1.39182950581271,0,0,0,0
,MYS,Malaysia,75,1.35652695948864,0,0,0,0
,ARE,United Arab Emirates,76,1.24105004001805,1,0,0,0
,SEN,Senegal,77,1.10774171984795,0,0,0,0
,SWZ,Eswatini,78,1.05831156396975,0,0,0,0
,BHR,Bahrain,79,0.826318935360223,0,0,0,0
,URY,Uruguay,79,0.826318935360223,0,0,0,0
,RWA,Rwanda,79,0.826318935360223,0,0,0,0
,ZAF,South Africa,79,0.826318935360223,0,0,0,0
,MAR,Morocco,83,0.757098618500233,0,0,0,0
,ROU,Romania,84,0.681851850109894,0,0,0,0
,BRA,Brazil,85,0.59942834098841,0,0,0,0
,LTU,Lithuania,86,0.508313378859537,0,0,0,0
,IRL,Ireland,87,0.290978597681926,0,0,0,0
,MRT,Mauritania,87,0.290978597681926,0,0,0,0
,VNM,Vietnam,89,0.226890594371813,0,0,0,0
,AGO,Angola,90,0.157670277511823,0,0,0,0
,DNK,Denmark,90,0.157670277511823,0,0,0,0
,KSV,Kosovo,90,0.157670277511823,0,0,0,0
,CHN,China,93,0.0,0,0,0,0
,FIN,Finland,93,0.0,0,0,0,0
,CZE,Czech Republic,93,0.0,0,0,0,0
,GAB,Gabon,93,0.0,0,0,0,0
,SDN,Sudan,93,0.0,0,0,0,0
,TWN,Taiwan,93,0.0,0,0,0,0
,ALB,Albania,93,0.0,0,0,0,0
,ARM,Armenia,93,0.0,0,0,0,0
,AZE,Azerbaijan,93,0.0,0,0,0,0
,BGR,Bulgaria,93,0.0,0,0,0,0
,BIH,Bosnia and Herzegovina,93,0.0,0,0,0,0
,BLR,Belarus,93,0.0,0,0,0,0
,BOL,Bolivia,93,0.0,0,0,0,0
,BTN,Bhutan,93,0.0,0,0,0,0
,BWA,Botswana,93,0.0,0,0,0,0
,COG,Republic of the Congo,93,0.0,0,0,0,0
,CRI,Costa Rica,93,0.0,0,0,0,0
,CUB,Cuba,93,0.0,0,0,0,0
,DOM,Dominican Republic,93,0.0,0,0,0,0
,ERI,Eritrea,93,0.0,0,0,0,0
